,latitude,wind_speed,wind_degree,pressure,precip,humidity,cloudcover,uv_index,visibility,is_day,temperature,weather_descriptions,feelslike
106,13.37,11,259,1011,0.30000000000000004,79,83,1,9,no,25,['Patchy rain possible'],27
107,12.65,12,262,1012,0,85,73,5,10,no,24,['Cloudy'],26
108,11.93,10,329,1012,0.2,85,64,1,10,no,24,['Light rain shower'],26
109,11.20,9,263,1012,0.6000000000000001,94,87,1,9,no,22,['Patchy rain possible'],25
110,10.48,6,281,1012,0.4,96,75,1,9,no,22,['Patchy rain possible'],25
111,9.76 ,8,262,1012,0,96,72,1,2,no,22,['Mist'],22
112,9.04 ,5,265,1013,0.1,97,64,1,2,no,22,['Mist'],22
113,8.31 ,5,265,1013,0.1,97,64,1,2,no,22,['Mist'],22
114,7.59 ,6,321,1013,0.2,97,51,1,10,no,21,['Light rain shower'],21
115,6.87 ,6,321,1013,0.2,97,51,1,10,no,21,['Light rain shower'],21
116,6.14 ,5,320,1013,0.4,95,59,1,10,no,21,['Light rain shower'],21
117,5.42 ,6,344,1012,0.2,94,73,1,9,no,22,['Patchy rain possible'],22
118,4.70 ,4,55,1012,0.2,93,87,1,9,no,22,['Patchy rain possible'],22
119,3.98 ,4,3,1012,0.2,92,81,1,9,no,23,['Patchy rain possible'],25
120,3.25 ,6,45,1011,0.1,85,76,1,10,no,22,['Patchy rain possible'],25
121,2.53 ,12,30,1010,0,69,45,1,10,no,25,['Partly cloudy'],27
122,1.81 ,4,97,1011,0,67,44,1,10,no,25,['Partly cloudy'],27
123,1.08 ,10,102,1010,0.1,69,87,1,10,no,25,['Patchy rain possible'],27
124,0.36 ,12,35,1009,0,70,47,1,10,no,25,['Partly cloudy'],27
125,-0.36,9,62,1009,0,52,57,1,10,no,28,['Partly cloudy'],29
126,-1.08,4,19,1008,0,44,31,1,10,no,29,['Partly cloudy'],29
127,-1.81,4,288,1008,0,37,45,1,10,no,30,['Partly cloudy'],30
128,-2.53,4,348,1007,0,34,28,1,10,no,31,['Partly cloudy'],30
129,-3.25,4,36,1007,0,31,16,1,10,no,31,['Clear'],30
130,-3.98,4,282,1007,0,28,11,1,10,no,30,['Clear'],29
131,-4.70,4,282,1007,0,28,11,1,10,no,30,['Clear'],29
132,-5.42,4,308,1007,0,26,6,8,10,no,30,['Sunny'],29
133,-6.14,4,286,1009,0,29,5,1,10,no,27,['Clear'],26
134,-6.87,5,339,1008,0,24,4,1,10,no,28,['Clear'],27
135,-7.59,5,339,1008,0,24,4,1,10,no,28,['Clear'],27
136,-8.31,9,340,1008,0,19,0,1,10,no,28,['Clear'],26
137,-9.04,9,340,1008,0,19,0,1,10,no,28,['Clear'],26
138,-9.76,6,86,1008,0,15,0,1,10,no,27,['Clear'],25
139,-10.4,8,116,1010,0,15,0,1,10,no,25,['Clear'],24
140,-11.2,6,112,1010,0,16,0,1,10,no,25,['Clear'],24
141,-11.9,7,112,1011,0,17,0,1,10,no,24,['Clear'],23
142,-12.6,7,92,1011,0,17,0,1,10,no,23,['Clear'],22
143,-13.3,8,104,1012,0,16,0,1,10,no,23,['Clear'],23
144,-14.1,8,104,1012,0,16,0,1,10,no,23,['Clear'],23
145,-14.8,8,111,1012,0,12,0,1,10,no,23,['Clear'],23
146,-15.5,8,111,1012,0,12,0,1,10,no,23,['Clear'],23
147,-16.2,9,112,1013,0,11,0,1,10,no,24,['Clear'],23
148,-16.9,9,112,1013,0,11,0,1,10,no,24,['Clear'],23
149,-17.7,8,125,1013,0,8,0,6,10,no,24,['Sunny'],23
150,-18.4,9,125,1015,0,9,0,1,10,no,22,['Clear'],22
151,-19.1,8,100,1016,0,9,0,1,10,no,21,['Clear'],21
152,-19.8,8,100,1016,0,9,0,1,10,no,21,['Clear'],21
153,-20.6,13,27,1017,0,10,0,1,10,no,19,['Clear'],19
154,-21.3,13,27,1017,0,10,0,1,10,no,19,['Clear'],19
155,-22.0,14,16,1016,0,9,0,1,10,no,21,['Clear'],21
156,-22.7,14,16,1016,0,9,0,1,10,no,21,['Clear'],21
157,-23.4,12,347,1014,0,13,0,1,10,no,22,['Clear'],22
158,-24.2,12,347,1014,0,13,0,1,10,no,22,['Clear'],22
159,-24.9,12,347,1014,0,13,0,1,10,no,22,['Clear'],22
160,-25.6,18,287,1013,0,11,0,1,10,no,24,['Clear'],23
161,-26.3,15,272,1012,0,12,0,1,10,no,24,['Clear'],23
162,-27.1,15,272,1012,0,12,0,1,10,no,24,['Clear'],23
163,-27.8,15,309,1012,0,14,0,1,10,no,23,['Clear'],22
164,-28.5,14,216,1013,0,16,0,1,10,no,21,['Clear'],21
165,-29.2,15,242,1014,0,20,0,1,10,no,19,['Clear'],19
166,-30.0,19,282,1014,0,19,0,1,10,no,20,['Clear'],20
167,-30.7,19,227,1014,0,28,0,1,10,no,17,['Clear'],17
168,-31.4,11,281,1015,0,40,0,1,10,no,12,['Clear'],11
169,-32.1,19,291,1014,0,38,0,1,10,no,8,['Clear'],5
170,-32.8,18,318,1012,0,45,3,1,10,no,12,['Clear'],10
171,-33.6,5,250,1012,0,52,3,1,10,no,14,['Clear'],14
172,-34.3,4,87,1012,0,71,3,1,10,no,13,['Clear'],13
173,-35.0,35,271,1012,0,75,10,1,10,no,14,['Clear'],12
174,-35.7,35,271,1012,0,75,10,1,10,no,14,['Clear'],12
175,-36.5,35,265,1011,0,75,8,4,10,no,15,['Sunny'],12
176,-37.2,35,265,1011,0,75,8,4,10,no,15,['Sunny'],12
177,-37.9,35,265,1011,0,75,8,4,10,no,15,['Sunny'],12
178,-38.6,35,265,1011,0,75,8,4,10,no,15,['Sunny'],12
219,-68.3,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
220,-69.0,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
221,-69.7,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
222,-70.4,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
223,-71.2,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
224,-71.9,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
225,-72.6,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
226,-73.3,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
227,-74.1,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
228,-74.8,30,121,1002,0,60,46,1,10,no,-23,['Partly cloudy'],-36
